analysis_id	main_or_supp	figure_table_panel	status	source_table_identified	analysis_script_verified	fixed_input_verified	environment_verified	claim_supporting	missing_link
SUPP_FIG_01	Supplement	Figure S1	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
SUPP_FIG_02	Supplement	Figure S2	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
SUPP_FIG_03	Supplement	Figure S3	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
SUPP_FIG_04	Supplement	Figure S4	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
SUPP_FIG_05	Supplement	Figure S5	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
SUPP_FIG_06	Supplement	Figure S6	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
SUPP_FIG_07	Supplement	Figure S7	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
SUPP_FIG_08	Supplement	Figure S8	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
SUPP_FIG_09	Supplement	Figure S9	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
SUPP_FIG_10	Supplement	Figure S10	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
SUPP_FIG_11	Supplement	Figure S11	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
SUPP_FIG_12	Supplement	Figure S12	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
SUPP_FIG_13	Supplement	Figure S13	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
SUPP_FIG_14	Supplement	Figure S14	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
SUPP_FIG_15	Supplement	Figure S15	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
