figure	panel	scientific_question	dataset	patient_or_sample_universe	primary_source_table	source_table_sha256	frozen_analysis_script	script_sha256	display_script	display_asset	key_reported_outputs	provenance_status	notes
Figure 4	F	Complete 14-identity-by-10-patient high-minus-low composition matrix for the Wu adjacent-section subset, with mean percentage-point difference and BH q.	GSE238264; Wu Zenodo 19123188	Wu CODEX subset: 10 patients; 14-identity family	derived_data/publication_source_tables/S10_03.tsv | derived_data/publication_source_tables/WU_MICROENVIRONMENT_CELL_TYPE_PATIENT_ROWS.tsv	4461806318324b217e07a36c7a15b7b9f2a2650f34046542c839cad4bf0d4071 | e8a15e4a9da7b4f20bae79043b17cfdecdda921316bad0e9b48a1eb816e72f87	See release/SCRIPT_ARCHIVE_INDEX.tsv; original producer not uniquely certified		scripts/display/figure4/build_atlas.py	新绘图流程/FIGURE4_FINAL_TYPOGRAPHY_SPACING_V1/FIGURE4_FINAL_TYPOGRAPHY_SPACING_AUTHOR_REVIEW.pdf [provenance identifier; not redistributed]	Complete 14-identity-by-10-patient high-minus-low composition matrix for the Wu adjacent-section subset, with mean percentage-point difference and BH q.	COMPLETE_SOURCE_TABLE_ONLY	Exact frozen table identities and manuscript-facing derivatives documented in FINAL_SOURCE_TABLE_BINDINGS.tsv. Unique original computational producer not certified; accepted source-table-only provenance, not executable reproducibility.
Figure 4	G	Complete 10-patient-by-nine-marker adjusted β matrix.	GSE238264; Wu Zenodo 19123188	Wu: 10 patients x 9 markers	derived_data/publication_source_tables/S10_02.tsv	24f534bf461216b98f4d4db525af4fbf9ec5b31a17dafa1b8d4af9a31b56cce0	See release/SCRIPT_ARCHIVE_INDEX.tsv; original producer not uniquely certified		scripts/display/figure4/build_atlas.py	新绘图流程/FIGURE4_FINAL_TYPOGRAPHY_SPACING_V1/FIGURE4_FINAL_TYPOGRAPHY_SPACING_AUTHOR_REVIEW.pdf [provenance identifier; not redistributed]	Complete 10-patient-by-nine-marker adjusted β matrix.	COMPLETE_SOURCE_TABLE_ONLY	Exact frozen table identities and manuscript-facing derivatives documented in FINAL_SOURCE_TABLE_BINDINGS.tsv. Unique original computational producer not certified; accepted source-table-only provenance, not executable reproducibility.
Figure 4	H	DC–CD8 topology across 17 regions from ten patients and the complete native 19-code family boundary	GSE238264; Wu Zenodo 19123188	Wu: 10 patients/17 regions; native 19-code family	derived_data/publication_source_tables/S10_01.tsv | derived_data/publication_source_tables/S10_04.tsv | derived_data/publication_source_tables/S10_05.tsv | derived_data/publication_source_tables/S10_06.tsv	fe68342ad062b591938ab619ba2f48f972ad10a87e5436b8608d9606f6aea767 | a3523750d6ede33f967f75ddb6bc4a051e675e199665f48ee1001fb366523b2e | d0c50fedada9252a01293a7c5ce29e3a1644e9ed74bf6ec6221438d760a8c8fd | 40158fb6af6f93da200c72e6bc28f11a18275beb8908670c651cf9ec9deec81b	scripts/frozen_originals/05_spatial/WU_AF35_DC_CD8_SPATIAL_TOPOLOGY_v1/scripts/01_topology.py	2ae00ffd681479d85adf7cc256c6f4385c615cf42434cc9464b9e491dcb560d7	scripts/display/figure4/build_atlas.py	新绘图流程/FIGURE4_FINAL_TYPOGRAPHY_SPACING_V1/FIGURE4_FINAL_TYPOGRAPHY_SPACING_AUTHOR_REVIEW.pdf [provenance identifier; not redistributed]	DC–CD8 topology across 17 regions from ten patients and the complete native 19-code family boundary. Models are patient-resolved; cells, spots and regions are nested observations. Supporting mapping, registration, spatial-reference and native code definitions are provided in Supplementary Figs. S9–S11 and Supplementary Tables S9–S10.	COMPLETE_SOURCE_TABLE_ONLY	Exact frozen table identities and manuscript-facing derivatives documented in FINAL_SOURCE_TABLE_BINDINGS.tsv. Unique original computational producer not certified; accepted source-table-only provenance, not executable reproducibility. Listed implementation is relevant archived analysis context; table-only status does not certify a unique production run.
Figure 5	A	Pretreatment PTPN22 and AF35 distributions in ERP117672 (35 response-evaluable patients; 6 R/29 NR) and GSE302495 (38 patients; 12 R/26 NR), with responder-minus-nonresponder Hedges' *g* and patient-bootstrap 95% intervals	ERP117672; GSE302495	ERP117672 35 response-evaluable patients (6 R/29 NR); GSE302495 38 (12 R/26 NR)	derived_data/publication_source_tables/S11_05.tsv | derived_data/publication_source_tables/S11_06.tsv | derived_data/publication_source_tables/S11_10.tsv | derived_data/publication_source_tables/S11_02.tsv	dfca0f5db2d613fa92ca373e3091cb3687b9f3411220f8e2efc48b8f60404cdb | b41ed6ab4c04e8fbd7bf1a63606e2d4ef9ea6fdb88267074e4e5c1f5ed014ab9 | fcea3cfd53838afa10fe73df671494e5757d661eedf1060e50be5baba28adc0e | 5214a9f93e73fe0d542119f233d0b9d1752cb160fae51dff403af98b19e4da9a	scripts/frozen_originals/06_clinical/CLINICAL_ANCHOR_READOUT_DECOMPOSITION_v1/scripts/03_paired_and_firth.R	e2b68e6acc29ff5dc1973dd3193f22c41f8bf14b3d95a8bb83fec1857f02373c	Historical display source not included	新绘图流程/FIGURE5_FINAL_TYPOGRAPHY_SPACING_V1/FIGURE5_FINAL_TYPOGRAPHY_SPACING_AUTHOR_REVIEW.pdf [provenance identifier; not redistributed]	Pretreatment PTPN22 and AF35 distributions in ERP117672 (35 response-evaluable patients; 6 R/29 NR) and GSE302495 (38 patients; 12 R/26 NR), with responder-minus-nonresponder Hedges' *g* and patient-bootstrap 95% intervals. In GSE302495, response was greater than 10% target-lesion reduction; the 12 responders comprised 7 partial responses and 5 RECIST stable-disease cases with greater than 10% reduction. AF35 point estimates were numerically larger than PTPN22, but paired Δg intervals crossed zero. Primary intervals for both candidates and Δg come from the same 20,000 response-stratified paired patient draws (Supplementary Table S11_10). ERP117672 AF35 g=0.86921565, 95% CI −0.10129105 to 2.19872197. Earlier independently seeded intervals are explicitly historical sensitivities in S11_03–04.	COMPLETE_SOURCE_TABLE_ONLY	Exact frozen table identities and manuscript-facing derivatives documented in FINAL_SOURCE_TABLE_BINDINGS.tsv. Unique original computational producer not certified; accepted source-table-only provenance, not executable reproducibility. Listed implementation is relevant archived analysis context; table-only status does not certify a unique production run. GSE302495 response map joins S11_06 scores by neutral plot_unit; original subject IDs omitted.
Figure 5	B	Patient-level unadjusted and broad-immune-residual score context.	ERP117672; GSE302495	ERP117672 35 response-evaluable patients (6 R/29 NR); GSE302495 38 (12 R/26 NR)	derived_data/publication_source_tables/S11_05.tsv | derived_data/publication_source_tables/S11_06.tsv | derived_data/publication_source_tables/S11_07.tsv | derived_data/publication_source_tables/S11_02.tsv	dfca0f5db2d613fa92ca373e3091cb3687b9f3411220f8e2efc48b8f60404cdb | b41ed6ab4c04e8fbd7bf1a63606e2d4ef9ea6fdb88267074e4e5c1f5ed014ab9 | 48c9fcbb1d0bd6289958a9d1183fc1d945b5327f92686d1889f456ef3b4c13ba | 5214a9f93e73fe0d542119f233d0b9d1752cb160fae51dff403af98b19e4da9a	See release/SCRIPT_ARCHIVE_INDEX.tsv; original producer not uniquely certified		Historical display source not included	新绘图流程/FIGURE5_FINAL_TYPOGRAPHY_SPACING_V1/FIGURE5_FINAL_TYPOGRAPHY_SPACING_AUTHOR_REVIEW.pdf [provenance identifier; not redistributed]	Patient-level unadjusted and broad-immune-residual score context.	COMPLETE_SOURCE_TABLE_ONLY	Exact frozen table identities and manuscript-facing derivatives documented in FINAL_SOURCE_TABLE_BINDINGS.tsv. Unique original computational producer not certified; accepted source-table-only provenance, not executable reproducibility. GSE302495 response map joins S11_06 scores by neutral plot_unit; original subject IDs omitted.
Figure 5	C	Clinical single-member ablation: change in Hedges' *g* after omitting each AF35 member.	ERP117672; GSE302495	ERP117672 35 response-evaluable patients (6 R/29 NR); GSE302495 38 (12 R/26 NR)	derived_data/publication_source_tables/S12_01.tsv	3e6a84f408c5e3f42c4386f3172ad0fc80d02387dd0e84291b18f24e23bcf8df	scripts/frozen_originals/06_clinical/AF35_COMPONENT_ABLATION_ASSOCIATION_ROBUSTNESS_v1/05_analyze.py	af73deddd131816a8969724dd3c4ba332f54c33b834ee9fc2cd14d179d2ffc93	Historical display source not included	新绘图流程/FIGURE5_FINAL_TYPOGRAPHY_SPACING_V1/FIGURE5_FINAL_TYPOGRAPHY_SPACING_AUTHOR_REVIEW.pdf [provenance identifier; not redistributed]	Clinical single-member ablation: change in Hedges' *g* after omitting each AF35 member.	COMPLETE_SOURCE_TABLE_ONLY	Exact frozen table identities and manuscript-facing derivatives documented in FINAL_SOURCE_TABLE_BINDINGS.tsv. Unique original computational producer not certified; accepted source-table-only provenance, not executable reproducibility. Listed implementation is relevant archived analysis context; table-only status does not certify a unique production run.
Figure 5	D	Clinical random dropout at 10%, 20%, 30%, 40% and 50% (4, 7, 11, 14 and 18 removed genes; 1,000 draws per level and cohort)	ERP117672; GSE302495	ERP117672 35 response-evaluable patients (6 R/29 NR); GSE302495 38 (12 R/26 NR)	derived_data/publication_source_tables/S12_02.tsv | derived_data/publication_source_tables/S12_03.tsv	a9be0632be1ea39c19b2e3826858c3bb785d81bc7bafc3afeec76dda06320dea | feb9e5ea8b7254f3ff8a1538005d900a2be4e827baa41d5824e781fce6da61e4	scripts/frozen_originals/06_clinical/AF35_COMPONENT_ABLATION_ASSOCIATION_ROBUSTNESS_v1/05_analyze.py	af73deddd131816a8969724dd3c4ba332f54c33b834ee9fc2cd14d179d2ffc93	Historical display source not included	新绘图流程/FIGURE5_FINAL_TYPOGRAPHY_SPACING_V1/FIGURE5_FINAL_TYPOGRAPHY_SPACING_AUTHOR_REVIEW.pdf [provenance identifier; not redistributed]	Clinical random dropout at 10%, 20%, 30%, 40% and 50% (4, 7, 11, 14 and 18 removed genes; 1,000 draws per level and cohort). Bands summarize component-perturbation distributions rather than patient confidence intervals. Panels C/D assess clinical-effect robustness, distinct from the outcome-blind measurement fidelity in Figure 2F/G.	COMPLETE_SOURCE_TABLE_ONLY	Exact frozen table identities and manuscript-facing derivatives documented in FINAL_SOURCE_TABLE_BINDINGS.tsv. Unique original computational producer not certified; accepted source-table-only provenance, not executable reproducibility. Listed implementation is relevant archived analysis context; table-only status does not certify a unique production run.
Figure 5	E	AF35 relative to 2,000 matched random programs per cohort.	ERP117672; GSE302495	ERP117672 35 response-evaluable patients (6 R/29 NR); GSE302495 38 (12 R/26 NR)	derived_data/publication_source_tables/S13_02.tsv | derived_data/publication_source_tables/S13_03.tsv | derived_data/publication_source_tables/S13_04.tsv	ad210120deff2f6567825e90688ade7ef37971c7d22327ea5213601176f0a631 | 633c059412341e4a2ebda8e3d3ac9ebe3d1ca09db7520e0919a0c3a42cb71117 | 61e46155c1ac04c0b44fea541ac4a304e240e30677a9a2058128efd9d2331da4	scripts/frozen_originals/06_clinical/AF35_MATCHED_RANDOM_CLINICAL_NULL_v1/04_summarize_and_verify.py	b9284fdd1be2aa73306d87a1fca59b110613e1dfff4f26d46360f972c3eacf5a	Historical display source not included	新绘图流程/FIGURE5_FINAL_TYPOGRAPHY_SPACING_V1/FIGURE5_FINAL_TYPOGRAPHY_SPACING_AUTHOR_REVIEW.pdf [provenance identifier; not redistributed]	AF35 relative to 2,000 matched random programs per cohort.	COMPLETE_SOURCE_TABLE_ONLY	Exact frozen table identities and manuscript-facing derivatives documented in FINAL_SOURCE_TABLE_BINDINGS.tsv. Unique original computational producer not certified; accepted source-table-only provenance, not executable reproducibility. Listed implementation is relevant archived analysis context; table-only status does not certify a unique production run.
Figure 5	F	Cross-cohort unadjusted matched-program reference space using the same 2,000 program identities; residual effects are not displayed in this panel	ERP117672; GSE302495	ERP117672 35 response-evaluable patients (6 R/29 NR); GSE302495 38 (12 R/26 NR)	derived_data/publication_source_tables/S13_02.tsv	ad210120deff2f6567825e90688ade7ef37971c7d22327ea5213601176f0a631	scripts/frozen_originals/06_clinical/AF35_MATCHED_RANDOM_CLINICAL_NULL_v1/04_summarize_and_verify.py	b9284fdd1be2aa73306d87a1fca59b110613e1dfff4f26d46360f972c3eacf5a	Historical display source not included	新绘图流程/FIGURE5_FINAL_TYPOGRAPHY_SPACING_V1/FIGURE5_FINAL_TYPOGRAPHY_SPACING_AUTHOR_REVIEW.pdf [provenance identifier; not redistributed]	Cross-cohort unadjusted matched-program reference space using the same 2,000 program identities; residual effects are not displayed in this panel. Percentile positions describe matched reference distributions rather than validation probabilities.	COMPLETE_SOURCE_TABLE_ONLY	Exact frozen table identities and manuscript-facing derivatives documented in FINAL_SOURCE_TABLE_BINDINGS.tsv. Unique original computational producer not certified; accepted source-table-only provenance, not executable reproducibility. Listed implementation is relevant archived analysis context; table-only status does not certify a unique production run.
Figure 5	G	AF35 responder–nonresponder Hedges' g before and after broad-immune residualization.	ERP117672; GSE302495	ERP117672 35 response-evaluable patients (6 R/29 NR); GSE302495 38 (12 R/26 NR)	derived_data/publication_source_tables/S11_07.tsv | derived_data/publication_source_tables/S11_08.tsv	48c9fcbb1d0bd6289958a9d1183fc1d945b5327f92686d1889f456ef3b4c13ba | c51fa59d241776ba383795be09665baeff6c0d79db0f6a82cca5ef8038f9d36a	scripts/frozen_originals/06_clinical/AF35_BROAD_IMMUNE_RESIDUAL_ASSOCIATION_v1/scripts/03_join_and_analyze.py	04ba04e380b14da575493a8eb086c2f9ae3281c6045108e044268d9d72ac82a1	Historical display source not included	新绘图流程/FIGURE5_FINAL_TYPOGRAPHY_SPACING_V1/FIGURE5_FINAL_TYPOGRAPHY_SPACING_AUTHOR_REVIEW.pdf [provenance identifier; not redistributed]	AF35 responder–nonresponder Hedges' g before and after broad-immune residualization.	COMPLETE_SOURCE_TABLE_ONLY	Exact frozen table identities and manuscript-facing derivatives documented in FINAL_SOURCE_TABLE_BINDINGS.tsv. Unique original computational producer not certified; accepted source-table-only provenance, not executable reproducibility. Listed implementation is relevant archived analysis context; table-only status does not certify a unique production run.
Figure 5	H	Conditional Firth logistic-regression profiles; each model contains one comparator plus PTPN22 or AF35.	ERP117672; GSE302495	ERP117672 35 response-evaluable patients (6 R/29 NR); GSE302495 38 (12 R/26 NR)	derived_data/publication_source_tables/S11_11.tsv	79cec6780fdd5b3d3ceea1ce2a073cd7480ba5460091adb9b5447cc89003a69b	scripts/frozen_originals/06_clinical/CLINICAL_ANCHOR_READOUT_DECOMPOSITION_v1/scripts/03_paired_and_firth.R	e2b68e6acc29ff5dc1973dd3193f22c41f8bf14b3d95a8bb83fec1857f02373c	Historical display source not included	新绘图流程/FIGURE5_FINAL_TYPOGRAPHY_SPACING_V1/FIGURE5_FINAL_TYPOGRAPHY_SPACING_AUTHOR_REVIEW.pdf [provenance identifier; not redistributed]	Conditional Firth logistic-regression profiles; each model contains one comparator plus PTPN22 or AF35.	COMPLETE_SOURCE_TABLE_ONLY	Exact frozen table identities and manuscript-facing derivatives documented in FINAL_SOURCE_TABLE_BINDINGS.tsv. Unique original computational producer not certified; accepted source-table-only provenance, not executable reproducibility. Listed implementation is relevant archived analysis context; table-only status does not certify a unique production run.
Figure 5	I	Unadjusted and broad-immune-residual Hedges' *g* in the non-ICI GSE104580 TACE cohort	GSE104580	GSE104580 TACE: 147 samples; source-recorded response groups	derived_data/publication_source_tables/S11_12.tsv	e479f679c658a23307fe1edde5298fc29f4f31630281110973a257fb11919cf1	scripts/frozen_originals/06_clinical/HCC_ICI_project/04_scripts/pretreatment_clinical_translation/01_gse104580_tace_falsification.R	9d93544ba88a45a5608c65d409bb04c58ebff0e7dd652b46666bdb397f144e17	Historical display source not included	新绘图流程/FIGURE5_FINAL_TYPOGRAPHY_SPACING_V1/FIGURE5_FINAL_TYPOGRAPHY_SPACING_AUTHOR_REVIEW.pdf [provenance identifier; not redistributed]	Unadjusted and broad-immune-residual Hedges' *g* in the non-ICI GSE104580 TACE cohort. This panel defines treatment context and does not estimate an ICI-specific treatment-by-marker interaction. Supporting endpoint, robustness, matched-reference and published-signature analyses are provided in Supplementary Figs. S12–S15 and Supplementary Tables S11–S14.	COMPLETE_SOURCE_TABLE_ONLY	Exact frozen table identities and manuscript-facing derivatives documented in FINAL_SOURCE_TABLE_BINDINGS.tsv. Unique original computational producer not certified; accepted source-table-only provenance, not executable reproducibility. Listed implementation is relevant archived analysis context; table-only status does not certify a unique production run.
