item	source_table_available	source_table_path	analysis_script_available	script_path	dataset	status	notes
Table S13 part 3	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S13_03.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Matched-program eligibility and clinical reference results (unadjusted reference); retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S13 part 4	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S13_04.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Matched-program eligibility and clinical reference results (unadjusted reference); retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S14 part 1	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S14_01.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Published 20-gene interferon program molecular and conditional comparison; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S14 part 2	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S14_02.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Published 20-gene interferon program molecular and conditional comparison; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S14 part 3	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S14_03.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Published 20-gene interferon program molecular and conditional comparison; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S15 part 1	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S15_01.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Software, scripts and reproducibility manifest; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S15 part 2	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S15_02.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Software, scripts and reproducibility manifest; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S15 part 3	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S15_03.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Software, scripts and reproducibility manifest; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S15 part 4	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S15_04.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Software, scripts and reproducibility manifest; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S15 part 5	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S15_05.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Actual Python spatial composition and topology environment; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S15 part 6	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S15_06.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Current analytical and display entrypoints; static source inspection; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Figure S1	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/FIGURE1_DISPLAY_UMAP_COORDINATES_V1.tsv | derived_data/publication_source_tables/FIGURE1_MARKER_UMAP_VALUES_V1.tsv	NOT_UNIQUELY_CERTIFIED		See source-table cohort fields and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	All figure page variants represented by this figure-level row; no automatic executable or figure regeneration claim
Figure S2	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S05_01.tsv | derived_data/publication_source_tables/S05_04.tsv	NOT_UNIQUELY_CERTIFIED		See source-table cohort fields and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	All figure page variants represented by this figure-level row; no automatic executable or figure regeneration claim
Figure S3	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S05_07.tsv | derived_data/publication_source_tables/S05_03.tsv	NOT_UNIQUELY_CERTIFIED		See source-table cohort fields and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	All figure page variants represented by this figure-level row; no automatic executable or figure regeneration claim
Figure S4	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/AF35_PROGRAM_COHERENCE_RANDOM_REFERENCE_SUMMARY.tsv	NOT_UNIQUELY_CERTIFIED		See source-table cohort fields and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	All figure page variants represented by this figure-level row; no automatic executable or figure regeneration claim
Figure S5	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S06_01.tsv | derived_data/publication_source_tables/S06_02.tsv | derived_data/publication_source_tables/S06_03.tsv | derived_data/publication_source_tables/S06_04.tsv | derived_data/publication_source_tables/S06_05.tsv | derived_data/publication_source_tables/S06_06.tsv | derived_data/publication_source_tables/S06_07.tsv | derived_data/publication_source_tables/S06_08.tsv	NOT_UNIQUELY_CERTIFIED		See source-table cohort fields and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	All figure page variants represented by this figure-level row; no automatic executable or figure regeneration claim
Figure S6	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S07_05.tsv	NOT_UNIQUELY_CERTIFIED		See source-table cohort fields and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	All figure page variants represented by this figure-level row; no automatic executable or figure regeneration claim
Figure S7	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S07_05.tsv	NOT_UNIQUELY_CERTIFIED		See source-table cohort fields and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	All figure page variants represented by this figure-level row; no automatic executable or figure regeneration claim
Figure S8	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S08_02.tsv | derived_data/publication_source_tables/S08_04.tsv | derived_data/publication_source_tables/S08_07.tsv	NOT_UNIQUELY_CERTIFIED		See source-table cohort fields and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	All figure page variants represented by this figure-level row; no automatic executable or figure regeneration claim
Figure S9	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S10_06.tsv	NOT_UNIQUELY_CERTIFIED		See source-table cohort fields and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	All figure page variants represented by this figure-level row; no automatic executable or figure regeneration claim
Figure S10	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/F5D_SAVED_CONDITIONAL_RANDOM_DRAWS.tsv | derived_data/publication_source_tables/S09_02.tsv	NOT_UNIQUELY_CERTIFIED		See source-table cohort fields and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	All figure page variants represented by this figure-level row; no automatic executable or figure regeneration claim
Figure S11	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S10_01.tsv | derived_data/publication_source_tables/S10_03.tsv | derived_data/publication_source_tables/S10_05.tsv	NOT_UNIQUELY_CERTIFIED		See source-table cohort fields and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	All figure page variants represented by this figure-level row; no automatic executable or figure regeneration claim
Figure S12	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S11_02.tsv | derived_data/publication_source_tables/S11_05.tsv | derived_data/publication_source_tables/S11_06.tsv	NOT_UNIQUELY_CERTIFIED		See source-table cohort fields and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	All figure page variants represented by this figure-level row; no automatic executable or figure regeneration claim
Figure S13	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S12_01.tsv | derived_data/publication_source_tables/S12_02.tsv | derived_data/publication_source_tables/S12_03.tsv	NOT_UNIQUELY_CERTIFIED		See source-table cohort fields and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	All figure page variants represented by this figure-level row; no automatic executable or figure regeneration claim
Figure S14	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S13_02.tsv	NOT_UNIQUELY_CERTIFIED		See source-table cohort fields and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	All figure page variants represented by this figure-level row; no automatic executable or figure regeneration claim
Figure S15	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S14_01.tsv | derived_data/publication_source_tables/S14_02.tsv | derived_data/publication_source_tables/S14_03.tsv	NOT_UNIQUELY_CERTIFIED		See source-table cohort fields and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	All figure page variants represented by this figure-level row; no automatic executable or figure regeneration claim
